会社名,概要,郵便番号,住所,設立年度,資本金等,代表者,URL,売上,従業員数
株式会社ケアブレーンズ ,株式会社ケアブレーンズは、小規模多機能型介護事業所などを運営している会社である。平成118年8月に設立された株式会社で、福島県郡山市安積荒井本町に本店を構えている。小規模多機能型介護事業を、郡山市内の「なじみ逢瀬」、「なじみ安積」、「なじみ山根」、「なじみ鶴見担」で行うとともに、サービス付き高齢者向け住宅、認知症対応型共同生活介護事業、訪問介護事業を行っている。, 〒 963-0116 , 福島県郡山市安積荒井本町375番地 , 2006/8/10 , 2007/4/10 ,"3,000,000円","",-, 31名～100名 
郡山サッシセンター株式会社 ,郡山サッシセンター株式会社は、サッシや建材などの販売、施工を行っている会社である。平成20年11月に設立された株式会社で、福島県郡山市富久山町久保田字宮田ンに本店を構えている。福島県郡山市を中心としたエリアで営業し、ＬＩＸＩＬや三共立山アルミなどのメーカーのサッシやトラクスやダイキン、旭化成建材などのメーカーの建材、住宅設備などの販売や施工を行っている。, 〒 963-8071 , 福島県郡山市富久山町久保田宮田96-1 , 2008/11/13 ,"30,000,000円",林 隆夫,http://www.fukoku-net.co.jp/ksc/index.html, 3億～10億  , 11名～30名  
清野トーヨー住器株式会社 ,清野トーヨー住器株式会社は、豊富な建材を取扱う企業である。株式会社LIXILのフランチャイズ加盟店として福島県最大規模を誇る。地域一番点を目指し、住宅のささいな修理から新築、リフォームまでを請け負う。サッシやドアの交換、エクステリア、水廻り工事等の様々なニーズに対応可能であり、建築の際には高気密、高断熱、高耐震構造がウリのスーパーウォール工法を推奨している。, 〒 963-8071 , 福島県郡山市富久山町久保田深田10-1 , 1986/4 ,"7,700,000円",鈴木健二,http://www.lixil-madolier.jp/5000133, 3億～10億  , 11名～30名  
株式会社自分流 ,株式会社自分流は、システム開発を行っている会社である。主に自社コンテンツの開発、運用を行っており、企業理念として心技体を掲げている。面白い事の他、気になる事があればどのような事でも全力で取り組む姿勢を貫いている。多角的に考える事により、高度なサービス開発に繋がり、かつ新しい物を生み出すには好奇心が必要という考えのもと、サービス開発に取り組んでいる。, 〒 963-0201 , 福島県郡山市大槻町字柏山37番地の31 , - , 2011/4/1 ,-,"",-,-
ゼビオコーポレート株式会社 ,ゼビオコーポレート株式会社は労働者派遣事業などを手がける会社である。個人に対しては、キャリアカウンセリングや専門教育及び研修などを提供し、就労等の支援を行う。また、企業や組織に対しては、技術者や営業、販売、事務などを行う人材を派遣するほか、総務や人事・採用などのアウトソーシング事業、人材スカウトなども手がける。, 〒 963-8024 , 福島県郡山市朝日3丁目7番7号 , 2004/7/1 ,"30,000,000円",島貫　慶太,https://www.xebio-xbs.jp/index.php,-, 101名～300名  
株式会社パルネット福島 ,株式会社パルネット福島は、auの携帯電話の販売・サ－ビスを提供している会社である。現在auショップを5店舗展開し、県内の法人の皆様に移動・固定通信の活用の提案を行っている。地域密着でサービスを手掛けてとり、顧客の通信の「マルチデバイス」「マルチネットワーク」「マルチユース」の提供を目的として取り組んでいる。, 〒 963-0117 , 福島県郡山市安積1-137 , 1990/12 , 1990/1 ,"10,000,000円","", 10億～100億  , 31名～100名 
東日本損害調査株式会社 ,東日本損害調査株式会社は、東北エリアを中心として損害保険調査・査定及び物損事故における復旧工事を行っている会社である。「迅速、丁寧、安心」をモットーとして顧客のニーズに応え続けており、関東エリアまでを幅広くサポートしている。環境に配慮したサービスと社員一人ひとりの顧客第一のサービスで多くの信頼と実績をもっている。, 〒 963-8835 , 福島県郡山市小原田3丁目8番20号イーストジャパンビル1-D号室 , 2001/7/12 ,"20,000,000円",-,http://www.higashinihon-songaichousa.com/index.html,-, 6～10名  
株式会社ふくしまエナジー ,株式会社ふくしまエナジーは、福島県にて太陽光発電所や風力発電所等の再生可能エネルギーを建設している会社である。使われなくなった用地に太陽光発電システムを設置してエネルギーを豊かにしてり、地主様よりお借りした用地の有効活用のお手伝いをしている。また余っている土地の管理をおこなったりと福島の経済と環境に貢献をしている。, 〒 963-8002 , 福島県郡山市駅前1丁目14番1号増子駅前ビル3階 , - ,-,伊東 貴史,http://fukushimaenergy.co.jp/index.php,-, 11名～30名  
日乃本フィルメント株式会社 ,日乃本フィルメント株式会社は、総合建設コンサルティングを行う会社である。総合建築事業、労働者派遣事業、経営コンサルティング業を手がけている。持続可能な社会と都市形成に向けた取り組みを土木・建築工事の企画設計や施工等を通じて実践する。また建設産業に携わる企業に対しての様々なコンサルティングにも対応している。, 〒 963-0101 , 福島県郡山市安積町日出山三丁目11番地 , 2014/10/1 ,"10,000,000円",塚田　勝広,http://h-fillment.co.jp/, 1億～3億  , 31名～100名 
株式会社東北ペガサス ,"株式会社東北ペガサスは仮設資材および各種建設機械のレンタル・リース、レンタカー事業・中古自動車販売等を行う会社。アルミ合金製軽量可搬式作業台をはじめ、踏み台、高性能台車など、30,000点超える在庫総数を誇り、大規模工事にも対応している。", 〒 963-0547 , 福島県郡山市喜久田町卸3-23 , 1989/10/26 ,"30,000,000円",渡辺 洋,http://toupega.co.jp/, 3億～10億  , 11名～30名  
